Przemyslaw Stpiczynski	 2D constraint language
Sudipto Guha	logic programming
Alfredo Ferro	logic programming languages
Christian Schulte	logic programming languages
Ilenia Tinnirello	logic programming languages
Michael Elad	logic programming languages
Philipos C. Loizou	logic programming languages
Weibo Gong	logic programming languages
Jerrold W. Grossman	logic testing
Johannes Kaiser	logic testing
Marc Gyssens	logic testing
Mario Lauria	logic testing
Max Q.-H. Meng	logic testing
Michel Deza	logic testing
Oddur Benediktsson	logic testing
Sriram V. Pemmaraju	logic testing
Gerardo Costa	logical analysis of data
Peter Fritzson	logical analysis of data
Reza Curtmola	logical analysis of data
Froduald Kabanza	logical relations
Philip H. Sweany	logical relations
Ren&eacute;e C. Bryce	logical relations
George I. Davida	LogP model
Yi Feng 0002	LogP model
Debapriyo Majumdar	Long-life applications
Irene M. Ong	Long-life applications
Manfred Nagl	Long-life applications
Mark Gahegan	Long-life applications
Peter M&uuml;ller 0004	Long-life applications
Alexander L. Wolf	loop grouping
Johannes K. Lehnert	loop grouping
Richard S. Bird	loop grouping
Vicente J. Botti	loop grouping
Laurence Likforman-Sulem	loop optimization
Martin Hardwick	loop optimization
Anneke Neijt	loop scheme
Dilek &Ouml;nkal-Atay	loop scheme
L&aacute;szl&oacute; Babai	loop scheme
Li-C. Wang	loop scheme
R. Nigel Horspool	loop scheme
Hartmut Wedekind	low power design
Michael A. Greenspan	low power design
Michael Felsberg	low power design
Osmar R. Za&iuml;ane	low power design
Amit Shukla	Low secret exponent RSA
Lee D. Coraor	LR parsing
Marek Kubale	LR parsing
Michal M. Okoniewski	L-system
Pascal Neis	L-system
Thomas Ertl	L-system
Edward W. Felten	M/G/1-type processes
Poorvi L. Vora	M/G/1-type processes
Ebrahim Nasrabadi	MAC protocol
Wolfgang Gr&auml;ther	MAC protocol
Ananda S. Chowdhury	Machine learning
Ben Liblit	Machine Learning
J&uuml;rgen Lind	Machine learning
Jehoshua Bruck	machine learning
R&uuml;diger Valk	machine learning
W. Scott Spangler	Machine learning
Claudio Sartori	machine learning applications
John L. Rutledge	machine learning applications
Martin Wattenberg	machine learning applications
Susan N. Coppersmith	machine learning applications
Matthieu Kaczmarek	machine learning.
Thomas Neumann 0007	machine learning.
Mladen A. Vouk	Machine vision
Thomas Erickson	Machine vision
G&iacute;sli R. Hjaltason	maintainability
Raid Zaghal	maintainability
Shambhu J. Upadhyaya	Management of Active Networks
Andrew P. Tolmach	Manhattan Street network
Mykola Pechenizkiy	Manhattan Street network
Uwe Roth	Manhattan Street network
Rok Sosic	manipulation
Stephanie Teufel	manipulation
Timo Raita	manipulation
Steven Minton	manufacturing data processing
Ebbe Elsborg	manufacturing simulation
Harold W. Thimbleby	manufacturing simulation
Lutz Richter	manufacturing simulation
Marsha Chechik	manufacturing simulation
Oliver Vornberger	manufacturing simulation
Paris C. Kanellakis	manufacturing simulation
Sotirios Terzis	manufacturing simulation
Xue Liu	manufacturing simulation
David A. Lifka	many-valued logic
Masha Sosonkina	many-valued logic
Herbert Klaeren	Mapping
Kaj Gr&oslash;nb&aelig;k	Mapping
Kjetil N&oslash;rv&aring;g	mapping
Klaus Jansen	Mapping
Lawrence Rauchwerger	mapping
Maciej J. Ciesielski	Mapping
Mario Schaarschmidt	Mapping
Matthew C. Valenti	mapping
Robert B. France	Mapping
Thomas Brinkhoff	Mapping
Terry Coatta	marching cubes
Yuri Breitbart	marching cubes
Mike Bond	Markov additive process
Annamalai Annamalai	Markov chain Monte Carlo
Simon Foley	Markov chain Monte Carlo
Marcos A. Kiwi	Markov Chain Monte Carlo methods
Paul R. Calder	Markov Chain Monte Carlo methods
Chi-Chun Lo	Markov decision processes
Divesh Srivastava	Markov decision processes
H&aring;kan L. S. Younes	Markov decision processes
Murat Kantarcioglu	Markov decision processes
Olivier Strauss	Markov decision processes
Walter Daelemans	Markov decision processes
Wm. Randolph Franklin	Markov decision processes
M. M. Waliullah	Markov Model
Michel X. Goemans	Markov Model
Sergio L. Netto	Markov Model
Dawn Wilkins	Markov modulated Bernoulli process
William M. Spears	Markov modulated Bernoulli process
Wolfgang May	Markov modulated Bernoulli process
Ankur Teredesai	Markov random fields
Emilia Mendes	Markov random fields
Pascal Bouvry	Markov random fields
Sleiman Rabah	Markov random fields
Srinivasan Seshan	Markov random fields
Jen-Shiun Chiang	MARS
Robert A. J. Clark	MARS
Jimeng Sun	Massive Storage
Mohammad Shaqfeh	Massive Storage
Siu-Ming Yiu	Massive Storage
Kent A. Walstrom	massively parallel
Martin Bouchard	massively parallel
Nancy M. Amato	massively parallel
Oliver Vornberger	massively parallel
Peter Gemmar	massively parallel
David Garlan	Massively parallel processors
Mordechai Ben-Ari	Massively parallel processors
Thomas Roth-Berghofer	Massively parallel processors
Thomas Spengler	Massively parallel processors
Ethan L. Miller	matching
Mirko Cesarini	Matching constraints
Alexander Shraer	Mathematical morphology
Aline Villavicencio	Mathematical morphology
Clare Dixon	Mathematical morphology
John C. Beatty	mathematical morphology
Komminist Weldemariam	mathematical morphology
Marco Loog	Mathematical morphology
Marcus Kracht	Mathematical morphology
Uwe Sch&ouml;ning	Mathematical morphology
Zhisheng Huang	Mathematical morphology
Jean-Marc Petit	matrix properties
Maurizio Lenzerini	matrix properties
Chris I. Phillips	matrix transpose
Joseph S. Glider	matrix transpose
Steven Burrows	matrix transpose
Garrison W. Cottrell	matroid
Luciano Pandolfi	matroid
Tobias Scheffer	matroid
David S. Johnson	maximum likelihood estimation
Mukesh Singhal	maximum likelihood estimation
Ralf Nagel	MDD
Silvana Castano	MDD
Yang Cui	MDD
Jan Newmarch	Measurement
L&aacute;szl&oacute; Lov&aacute;sz	Measurement
Luc Longpr&eacute;	measurement
M&aacute;ria Bielikov&aacute;	Measurement
Mateo Valero	Measurement
Matt Kaufmann	Measurement
Roelof van Zwol	measurement
Taneli Mielik&auml;inen	Measurement
Mauro Negri	Mechanism design
Robert Paige	Mechanism design
Juan Jos&eacute; Moreno-Navarro	mechatronics
Kenneth M. Kahn	mechatronics
Leon Moonen	mechatronics
Smruti R. Sarangi	mechatronics
Takis Sakkalis	mechatronics
Jan Willem Klop	media access protocols
Roberto Gorrieri	media access protocols
Michelangelo Grigni	media processor
Nico Van de Weghe	media processor
Paul W. P. J. Grefen	media processor
Kimberly Tee	media processors
Mathias Niepert	media processors
Peter Michael Young	media processors
Peter Padawitz	media processors
Roozbeh Jafari	media processors
William Paul Segars	media processors
Riccardo Martoglia	Medial axis transform
Abhi Shelat	Medical image analysis
Daniela Rus	Medical image analysis
Jan O. Pedersen	Medical image analysis
Ruy J. G. B. de Queiroz	Medical image analysis
Yongwook Choi	Medical image analysis
Israel Cidon	medical imaging
Rosemary A. Renaut	medical imaging
Dag Hovland	medical visualization
Isabel Trancoso	medical visualization
Luca P. Carloni	medical visualization
Margaret Ross	medical visualization
Niels Ole Bernsen	medical visualization
Peer Kr&ouml;ger	medical visualization
Vincent Conitzer	medical visualization
Mary C. Whitton	medium access control
Roel Wieringa	medium access control
Kenneth W. Regan	medium-access control (MAC)
Mihai Horoi	medium-access control (MAC)
Miodrag Potkonjak	medium-access control (MAC)
Heinrich Niemann	MEDLINE
Luis Gravano	MEDLINE
Mingjing Li	MEDLINE
Peter Lee	MEDLINE
Gerhard Zimmermann	Meeting room design
Irad E. Ben-Gal	Meeting room design
Rama Chellappa	Meeting room design
Robert Laurini	Meeting room design
Anca Dobre	Memex
Andreas Winter	Memex
Sorin Sav	Memex
Svetha Venkatesh	Memex
Wolfgang Faber	Memex
David B. Lomet	Memory
Meurig Beynon	memory
Peter Fox	Memory
Tamara Munzner	Memory
Zhuowei Li	memory
Leon Sterling	memory allocation
Martin Aum&uuml;ller 0002	memory allocation
Masaru Kitsuregawa	memory allocation
Dani&egrave;le Beauquier	Memory and Processing Architecture for 3D Voxel-based Imagery
Dominique Unruh	Memory and Processing Architecture for 3D Voxel-based Imagery
Henrik Loeser	Memory and Processing Architecture for 3D Voxel-based Imagery
Pepe Siy	Memory and Processing Architecture for 3D Voxel-based Imagery
Alireza Tavakkoli	memory exploration
Latanya Sweeney	memory exploration
Satya Gautam Vadlamudi	memory exploration
Zoltan Somogyi	memory exploration
Edward R. Scheinerman	memory hierarchy
Kim S. Larsen	memory hierarchy
Amy L. Murphy	memory management
Beno&icirc;t Hudson	memory management
Laurent Bernardin	memory management
Radu Marinescu 0002	memory management
Takashi Kobayashi	memory management
Arie Segev	Memory Synthesis
Deepti Mishra	Memory Synthesis
Masha Sosonkina	Memory Synthesis
Vikraman Arvind	Memory Synthesis
Hern&aacute;n Merlino	Memory systems architecture
John R. W. Glauert	Memory systems architecture
Kevin D. Seppi	Memory systems architecture
Michael Molla	Memory systems architecture
Rahul Shah	Memory systems architecture
Tomas Akenine-M&ouml;ller	Memory systems architecture
William Lively	Memory systems architecture
Jir&iacute; Fiala	Menu Presentation
R&eacute;my Haemmerl&eacute;	Menu Presentation
Siamak Fayyaz Shahandashti	Menu Presentation
William J. Phillips	Menu Presentation
Yung-Nien Sun	Menu Presentation
Robert M. Siegfried	Mesh
Rockford J. Ross	Mesh
Carsten Schulte	Mesh partitioning
Tolga Goktekin	Mesh partitioning
Alessandro Genco	mesh simplification
John V. Franco	mesh simplification
Tawfig Abdelaziz	mesh simplification
Anssi Klapuri	message authentication
Robert P. Burton	message authentication
Simona E. Rombo	message authentication
Sven Behnke	message authentication
Zhiming Liu	message authentication
G&uuml;nther Heinemann	Message logging
Michael T. Hallett	Message logging
J&ouml;rn Ostermann	message passing
Jukka Paakki	message passing
Kerttu Pollari-Malmi	message passing
Kimberly Keeton	message passing
Lothar Lemnitzer	message passing
Marco Patella	message passing
Onkar Dabeer	message passing
Pavol Hell	message passing
Peter Deuflhard	message passing
Philip Bohannon	message passing
Pucktada Treeratpituk	message passing
Rafael H. Bordini	message passing
Ronen Shaltiel	message passing
Volker Haarslev	message passing
Volker Weispfenning	message passing
Yiwei Cao	message passing
Eric Bach	message switching
Gregory J. Conti	message switching
Guy De Tr&eacute;	message switching
Haggai Roitman	message switching
Robert G. Langlois	message switching
Markus Endler	meta data
Markus Rupp	meta data
Xiaobo Li	meta data
Oleksiy Mazhelis	Meta programming
Ralph E. Johnson	Meta programming
Georg Gottlob	metacompilation
Greger Lind&eacute;n	metacompilation
Manuel Eduardo Correia	Metacomputing
R&uuml;diger L. Urbanke	Metacomputing
Wee Keong Ng	Metacomputing
David Botstein	metadata
Justin Burruss	metadata
Stefan Kirn	metadata
Onkar Dabeer	metadata extraction
R&uuml;diger Lincke	metadata extraction
Renato P. Ribas	metadata extraction
Shlomo Berkovsky	metadata extraction
Wayne Eberly	metadata extraction
Yong Rui	metadata extraction
D. Michael Miller	metamodeling
G&uuml;nther Greiner	metamodeling
Blair MacIntyre	meteorology
David J. Wheeler	meteorology
Jean-Marc Talbot	meteorology
Michael Schwind	meteorology
Stefan Ha&szlig;feld	meteorology
Vaida Jakoniene	meteorology
Isabelle Puaut	Metering Schemes
Klaus-Peter F&auml;hnrich	Metering Schemes
M. V. Ramakrishna	Metering Schemes
Roger Debreceny	Metering Schemes
Amela Ajanovic	Method Base
Andr&eacute; C. N&aacute;cul	Method Base
Justin J. Levandoski	metrical tasks
Markus Baumeister	metrical tasks
Saartje Brockmans	metrical tasks
Ronald R. Yager	Metrics for Object-Oriented Design
Letizia Tanca	metrics of authentication
Tomek Strzalkowski	metrics of authentication
Jan Van der Spiegel	metropolitan-area wireless network
Xiaochun Cao	metropolitan-area wireless network
Henning Biermann	Microarchitecture
J&ouml;rg Desel	microarchitecture
Kokichi Futatsugi	Microarchitecture
Mehdi Jazayeri	Microarchitecture
Rehab M. Duwairi	microarchitecture
Shuichi Miyazaki	Microarchitecture
Terry Coatta	microarchitecture
Anupam Joshi	Micropayments
Bartek Klin	Micropayments
Jon G. Rokne	micro-preemption
Mohammad Soleymani	micro-preemption
Ramez Elmasri	micro-preemption
Maria-Eugenia Iacob	Microprocessors
Maurice Bruynooghe	Microprocessors
Minxin Shen	Microprocessors
Mohamed Jmaiel	Microprocessors
Nirmal J. Patel	Microprocessors
Wolfgang Grieskamp	Microprocessors
Ernest Teniente	Middleware
Rui Prior	Middleware
Amit Sahai	MIDI
David N. Chin	MIDI
J&uuml;rgen Nehmer	MIDI
Michael Herczeg	MIDI
Weidong Chen	MIDI
Frits W. Vaandrager	MIMD
Peter J. F. Lucas	MIMD
Richard F. Rashid	MIMD
Timothy Mattox	MIMD
Jorge A. Navas	minimum-cost tree
Kuldip K. Paliwal	minimum-cost tree
Mirabelle Nebut	minimum-cost tree
Werner Sandmann	Mix networks
Dragos Trinca	Mixed synchronous/asynchronous interfacing
Torsten Eymann	Mixed synchronous/asynchronous interfacing
Ashwani Kumar	mixed-model BIST
Cl&aacute;udio de Souza Baptista	mixed-model BIST
Kostas Stathis	ML-polymorphic types
Jir&iacute; Fiala	MMIR (general)
Markus N&uuml;ttgens	Mobile Ad Hoc Networks
Masami Ito	Mobile Ad Hoc Networks
Murray H. Loew	mobile ad hoc networks
Nicholas Nash	mobile ad hoc networks
Claes Wohlin	Mobile agent
Jana Dittmann	Mobile agent
Li-Wei Kang	Mobile agent
Mihai Lazarescu	Mobile agent
Shree K. Nayar	Mobile agent
Michael I. Miller	Mobile agent security
Michael I. Schwartzbach	mobile agent security
Alfred Kobsa	Mobile agent systems
Michael Bender	Mobile agent systems
Shivkumar Kalyanaraman	Mobile agent systems
Alfred M. Bruckstein	Mobile Agents
Ali N. Akansu	Mobile Agents
Bernd Freisleben	Mobile Agents
Chiaki Sakama	mobile agents
David A. McGrew	Mobile Agents
Fr&eacute;d&eacute;ric Guinand	Mobile Agents
James Arthur Kohl	mobile agents
Jean-Louis Giavitto	Mobile agents
Joanne M. Atlee	Mobile Agents
Kai Yu	mobile agents
Katinka Wolter	Mobile agents
L'H&eacute;di Zaher	Mobile Agents
Loo Geok Pee	Mobile Agents
Markus Pizka	Mobile Agents
Melody Y. Kiang	Mobile agents
Michael J&uuml;nger	mobile agents
Milind M. Buddhikot	mobile agents
Niels Ole Bernsen	mobile agents
Peter van Beek	Mobile Agents
Stuart E. Schechter	Mobile Agents
Takis Sakkalis	Mobile agents
Adam L. Buchsbaum	Mobile code
Alfred Nischwitz	Mobile code
Dermot Diamond	Mobile code
R&uuml;diger Loos	Mobile code
Uri Kartoun	Mobile code
Jan A. Bergstra	mobile communication
Michel Barlaud	mobile communication
Richard Discenza	mobile communication
Amit Shukla	Mobile Communications
J&uuml;rgen Sellentin	Mobile Communications
Kristin Ytterstad Pettersen	Mobile Communications
Magnus Steinby	Mobile Communications
Sachin Garg	Mobile Communications
Sarah George	Mobile Communications
Siau-Cheng Khoo	Mobile Communications
Thomas Lengauer	Mobile Communications
Bruce E. Litow	mobile computing
Ellen Yi-Luen Do	mobile computing
Fr&eacute;d&eacute;ric Benhamou	mobile computing
Gediminas Adomavicius	Mobile Computing
Gediminas Adomavicius	mobile computing
J&ouml;rg Roth	Mobile computing
Jerzy R. Nawrocki	mobile computing
Johan Montelius	Mobile Computing
Jos&eacute; M. Sempere	mobile computing
Kenneth Nagin	Mobile Computing
Laurent Dami	mobile computing
Maciej J. Zawodniok	mobile computing
Marc Andr&eacute; Selig	mobile computing
Maria Ganzha	mobile computing
Michael A. Gennert	mobile computing
Mike Lincoln	mobile computing
Norbert Reithinger	Mobile Computing
Paul Molitor	mobile computing
Petru Eles	mobile computing
Philippe Pucheral	mobile computing
Philippe Rigaux	Mobile computing
Stephan Heymann	mobile computing
Thierry Coupaye	mobile computing
Xuemei Xie	Mobile computing
Jacob Zahavi	Mobile Databases
Jong-Hyouk Lee	Mobile Databases
Yury Chebiryak	Mobile Databases
Helmut Krcmar	mobile information access
Roberta Cuel	mobile information access
Suhaib A. Fahmy	mobile information access
Alessandra Lumini	Mobile information agents
Luc Devroye	Mobile information agents
Pamela Samuelson	mobile interface design
Kate S. Hone	Mobile IP
Kikuo Fujimura	Mobile IP
Minh Huynh	Mobile IP
Sergei G. Vorobyov	Mobile IP
Jean-Claude Fernandez	mobile navigation
Julia L. Lawall	mobile navigation
Ren&eacute; Bekker	mobile navigation
Frank Olken	Mobile objects
Mao Lin Huang	Mobile objects
Rachid Hamadi	Mobile objects
Richard F. Rashid	Mobile objects
Rob A. Rutenbar	Mobile objects
Kyriakos Mouratidis	mobile radio
Manuela M. Veloso	mobile radio
Didier Parigot	mobile robots
Robert DeLine	mobile robots
Stephen E. McLaughlin	mobile robots
Vladimiro Sassone	mobile robots
Edwin Diday	model abstraction
Zhiqiang Cai	model abstraction
Jenni Anttonen	model acquisition
Marcio Merino Fernandes	model acquisition
Moshe Babaioff	model acquisition
Nicola Nobile	model acquisition
Andrea Prati	Model based vision
Mirko Guarnera	Model based vision
Bina Ramamurthy	Model checking
Danushka Bollegala	model checking
Fred Charles	Model checking
Giovanni Agosta	model checking
Herbert Ehler	Model checking
Jacobo Tor&aacute;n	Model checking
Luciano Paschoal Gaspary	Model checking
Marco P&ouml;tke	Model checking
Martin Ziegler	model checking
Mohammad R. Akbarzadeh-Totonchi	model checking
Nicolas Holzschuch	Model checking
Paul-Andr&eacute; Melli&egrave;s	Model checking
Pius ten Hacken	model checking
Prashant J. Shenoy	Model checking
Ricardo Jo&atilde;o Cruz Correia	Model checking
Sven Abels	model checking
Yannis Smaragdakis	Model parameterization
Alan P. Sprague	Model repair
Ulla Koppenhagen	Model repair
Vasant Honavar	Model repair
Timos K. Sellis	Model Selection
Doron Rotem	Model-based object recognition
Robert B. Fisher	Model-based object recognition
Melanie Tory	model-based user interface design
Wei Ding 0001	model-based user interface design
Ippokratis Pandis	modeling
Jordan Gergov	modeling
Luciano Margara	modeling
Mart&iacute;n L&oacute;pez Nores	modeling
Pascal Vaillant	modeling
Rafael Accorsi	modeling
Wolfgang Thomas	modeling
Laura Elena Mu&ntilde;oz Hern&aacute;ndez	modeling user subjectivity
M. Akhtar Ali	modeling user subjectivity
Manuel V. Hermenegildo	modified rate-monotonic algorithm
Niina P&auml;ivinen	modified rate-monotonic algorithm
Rangachar Kasturi	modified rate-monotonic algorithm
Gerhard J. Woeginger	modular programming style
Jean-Marc Talbot	modular programming style
John Zahorjan	Modular Visualization Environments
Joseph G. Peters	Modular Visualization Environments
Marina C. Chen	Modular Visualization Environments
Micah Adler	Modular Visualization Environments
Jon G. Rokne	molecular beam epitaxial growth
Jos&eacute; Ant&ocirc;nio Roversi	molecular beam epitaxial growth
Khuzaima Daudjee	molecular beam epitaxial growth
Mark T. Bolas	molecular beam epitaxial growth
David Klappholz	Mona (a CSCW system)
Hermann Kaindl	Mona (a CSCW system)
Saket Saurabh	monotone circuits
Mattias Ohlsson	Monte Carlo
David Goldberg	Monte Carlo integration
Keith O. Geddes	Monte Carlo methods
Wolfgang Thomas	Monte Carlo methods
Daniel Millot	Monte Carlo techniques
Fazli Can	Monte Carlo techniques
Marius Bozga	Monte Carlo techniques
Nick Kline	Monte Carlo techniques
Ralf-Detlef Kutsche	Monte Carlo techniques
Reinhold Heckmann	Monte Carlo techniques
David K. Y. Chiu	MOO
Ishwar K. Sethi	MOO
Volkmar Liebscher	MOO
Claire Lecocq	morphing
Hartmut Wandke	morphing
Mattias Rost	morphing
Mihai Marin-Perianu	Morphology
Thomas Neumann	Morphology
Ugo Vaccaro	Morphology
Maozhen Li	Morse theory
Walter Kellermann	Morse theory
Jun Hong	MOS circuits
Nuria Oliver	MOS circuits
Ralf Hartmut G&uuml;ting	MOS circuits
S. N. Jayaram Murthy	MOS circuits
Michael H&ouml;ding	Motion
Michael Schrefl	Motion
Minos N. Garofalakis	Motion
Shankara Narayanan Krishna	Motion
Toni Jussila	Motion
David S. Munro	Motion analysis
Joseph Kee-Yin Ng	motion analysis
Kimmo Varpaaniemi	Motion analysis
Min-Soo Kim 0002	Motion analysis
Piotr Indyk	Motion analysis
E. Rodney Canfield	Motion analysis and stereo
Myra Spiliopoulou	Motion analysis and stereo
Sudarshan S. Chawathe	Motion analysis and stereo
Benjamin G. Zorn	Motion capture
Judi Romijn	Motion capture
Monika Sester	Motion capture
Nittaya Kerdprasop	Motion capture
Tim Menzies	Motion capture
Leonid B. Sokolinsky	Motion correspondence
Paul H. Siegel	Motion correspondence
Raluca Marin-Perianu	Motion correspondence
Andrea Fusiello	motion estimation
David S. Rosenblum	motion estimation
Elie Bienenstock	motion estimation
Eugene M. Izhikevich	motion estimation
Fer-Jan de Vries	motion estimation
Frederic T. Chong	motion estimation
Fritz Paschke	motion estimation
Jingde Cheng	motion estimation
Johannes Gehrke	motion estimation
John Lach	motion estimation
Katja Hose	Motion estimation
Lee Pike	motion estimation
Li Chen	motion estimation
Lutz Volkmann	motion estimation
Markus Lumpe	Motion estimation
Marta Pati&ntilde;o-Mart&iacute;nez	Motion estimation
Mike Thelwall	motion estimation
Mukkai S. Krishnamoorthy	motion estimation
Olga Sorkine	motion estimation
Patricia Melin	Motion estimation
Philippa Gardner	motion estimation
Pierre Lescanne	motion estimation
Steven M. Seitz	motion estimation
Uwe Stilla	Motion estimation
Cartic Ramakrishnan	Moving objects
Fr&eacute;d&eacute;ric Cuppens	Moving objects
Jos&eacute; M. Vidal	Moving objects
Martin Hepp	MPDE
Bruno A. Olshausen	MPEG
Edouard Thiel	MPEG
Hanna M. Wallach	MPEG
Hannes P. Saal	MPEG
Harald Ganzinger	MPEG
John A. Barnden	MPEG
Kay G. Schulze	MPEG
Khaled Ben Letaief	MPEG
Massimo Marchiori	MPEG
Mohammad R. Akbarzadeh-Totonchi	MPEG
Pablo N. Mendes	MPEG
A. Emre Harmanci	MPEG4
David Heckerman	MPEG4
Florin Isaila	MPEG4
Joan M. Francioni	MPEG4
Nicol&ograve; Cesa-Bianchi	MPEG4
Robert V. Kenyon	MPEG4
Rohit Khare	MPEG4
Sally A. McKee	MPEG4
Alain Bretto	MPEG-7
Alain Bui	MPEG-7
Frank Dellaert	MPEG-7
Frank Drewes	MPEG-7
Jan Chomicki	MPEG-7
Pawel Urzyczyn	MPEG-7
Pawel Wocjan	MPEG-7
Ravi S. Sandhu	MPEG-7
Shin-Ichi Nakano	MPEG-7
David P. Williamson	MPI
Guido Moerkotte	MPI
Marcin Skubiszewski	MPI
Matthieu Finiasz	MPI
Mohamed Khalgui	MPI
Phoebe Sengers	MPI
Premkumar T. Devanbu	MPI
Sven Schuierer	MPI
Tom Friedetzky	MPI
Eyal Kushilevitz	MRB
Geoffrey G. Parker	MRB
Daniel F. Huber	MRI image presentation
Kenny Qili Zhu	MRI image presentation
Peter Mertens	MRI image presentation
Peter Niebert	MRI image presentation
Juho Rousu	MSCs
Nicolai Vorobjov	MSCs
Axel Polleres	multiagent search
M. Brian Blake	Multiagent systems
Arie Shoshani	Multi-Agent Systems
Cristiana Bolchini	multi-agent systems
Juan Antonio G&oacute;mez Pulido	Multi-Agent Systems
Markus Stumptner	Multi-Agent Systems
Wolfgang May	Multi-Agent Systems
Arnold L. Rosenberg	multicast
Ee Ping Ong	multicast
Gabriel Schui	multicast
Lars Bernard	multicast
Margaret Martonosi	multicast
Martijn J. Rutten	multicast
Nikil Jayant	multicast
P. David Stotts	multicast
Peter Scheuermann	multicast
Richard M. Voyles	multicast
Tiffany C. Veinot	multicast
Xiao-Feng Xie	multicast
Prashant J. Shenoy	Multicast and Routing Protocols
Anton Eli&euml;ns	Multicast Communication
Dennis F. Galletta	multicast communication
Hao Chen	multicast communication
Kenneth M. Sochats	multicast communication
Ludger van Elst	Multicast Communication
Paolo Bientinesi	multicast communication
Paul Lukowicz	Multicast Communication
Henryk Jan Komorowski	Multicast encryption
Karlheinz Brandenburg	Multicast routing
Norbert G&ouml;vert	Multicast routing
Olaf Spinczyk	Multicast routing
Tony Printezis	Multicast routing
Minos N. Garofalakis	multicast server selection
Nathan Amanquah	multicast server selection
Patr&iacute;cia Augustin Jaques	multicast server selection
Nik Bessis	Multicast Stream Authentication and Signature
Robert McGrew	Multicast Stream Authentication and Signature
Andreas V. M. Herz	Multicategory classification
Peter van Emde Boas	Multicategory classification
Ralph Kimball	Multicategory classification
Ngoc Thanh Nguyen	multichip modules
Stefanos Kaxiras	multichip modules
Ece Olcay G&uuml;nes	Multicomputers
Jalal Kawash	multicomputers
Matthias Hemmje	multicomputers
Michael Bender	Multicomputers
Richard D. Neidinger	Multicomputers
Ronald Fedkiw	Multicomputers
Lawrence Cavedon	Multidimensional Languages
Martin Odersky	Multidimensional Loops
Robert M. Corless	Multidimensional Loops
Aiman Hanna	multi-dimensional scaling
Boris Novikov	multi-dimensional scaling
Leonard D. Shapiro	multi-dimensional scaling
Matthew Flatt	multi-dimensional scaling
Jianwen Zhu	Multidimensional XML/XSL
Ji-Rong Wen	Multidimensional XML/XSL
Jun Zhang 0002	Multidimensional XML/XSL
Lawrence J. Henschen	Multidimensional XML/XSL
Rieuwert J. Blok	Multidimensional XML/XSL
Vern Paxson	multi-image stereo
Mirko Viroli	Multi-image Structure
Nicolette de Keizer	Multi-language systems
Rui Wang 0010	Multi-language systems
Charles B. Owen	Multilateral cache
Marek Karpinski	Multilateral cache
Mark Smotherman	Multilateral cache
Mark Stemm	Multilateral cache
Umakishore Ramachandran	Multilateral cache
Ernesto Damiani	multimedia
Jean-Marc J&eacute;z&eacute;quel	multimedia
Mark Allen Weiss	Multimedia
Uwe R&ouml;hm	multimedia
Loris Penserini	multimedia communication
Ramani Duraiswami	multimedia communication
Marijn Janssen	multimedia computing
Bruce J. McKenzie	multimedia document
Maria Biryukov	multimedia document
Pravin Varaiya	multimedia document
Hod Lipson	multimedia evaluation
Terence Critchlow	multimedia evaluation
Adam A. Porter	multimedia indexing
Luciano Paschoal Gaspary	multimedia indexing
Michael Huth	multimedia indexing
Marc Herbstritt	Multimedia network traffic engineering and optimization
Sven Hartmann	Multimedia network traffic engineering and optimization
Gregory R. Ganger	Multimedia Networking
Juraj Hromkovic	Multimedia Networking
Patrick Delfmann	Multimedia Networking
Rainer Hauser	Multimedia Networking
Richard J. LeBlanc	Multimedia Networking
Solange Coupet-Grimal	Multimedia Networking
Ethan L. Miller	Multimedia retrieval
Frank Nack	Multimedia retrieval
Jaan Mikk	Multimedia retrieval
Joanna Kolodziej	Multimedia retrieval
Ralph Etienne-Cummings	Multimedia retrieval
Viviana Patti	Multimedia retrieval
Jir&iacute; Matousek	multimedia similarity
Leandro Soares Indrusiak	multimedia similarity
Sang Hyuk Son	multimedia similarity
Efstratios Gallopoulos	multimedia streaming
Sven Behnke	multimedia streaming
Thomas Jansen	multimedia streaming
Winfried Lamersdorf	multimedia streaming
John C. Munson	multimedia systems
John K. Bennett	multimedia systems
Marco Dorigo	multimedia systems
Maria Ebling	multimedia systems
Martin Hafner	multimedia systems
Randal C. Burns	multimedia systems
S. Sudarshan	multimedia systems
Sandip Ray	multimedia systems
Sunil Prabhakar	multimedia systems
V&eacute;ronique Benzaken	multimedia systems
Joey Paquet	Multimodal Natural Interfaces
Mina Guirguis	Multimodal Natural Interfaces
Dan Gusfield	multiobjective optimization
Peter Dittrich	multiobjective optimization
Debzani Deb	Multiparty Multimedia Conferencing
Jeong Han Kim	Multiparty Multimedia Conferencing
Ariel D. Procaccia	multi-platform support
Randy Appleton	multi-platform support
Andrew B. Kahng	Multiple Clock Domain
Anthony K. H. Tung	Multiple Clock Domain
Edmond Boyer	Multiple Clock Domain
Howard Barringer	Multiple Clock Domain
Lothar Thiele	Multiple Clock Domain
Peter F. Patel-Schneider	Multiple Clock Domain
Christopher Habel	Multiple databases
H. Van Dyke Parunak	Multiple databases
Hasan Ural	Multiple databases
Mihai Oltean	Multiple databases
Manish Mehta 0003	Multiple Description Coding
Nadine Schuurman	Multiple Description Coding
William J. Kaiser	Multiple Description Coding
Christian Borgelt	multiple description image transmission wireless fading channel forward error correction
